,Value,Feature
116,0,e_pracid_66.0
114,0,e_pracid_61.0
106,0,e_pracid_46.0
113,0,e_pracid_59.0
112,0,e_pracid_58.0
111,0,e_pracid_57.0
110,0,e_pracid_53.0
109,0,e_pracid_52.0
108,0,e_pracid_48.0
122,0,e_pracid_74.0
123,0,e_pracid_75.0
124,0,e_pracid_76.0
125,0,e_pracid_77.0
126,0,e_pracid_78.0
127,0,e_pracid_8.0
128,0,e_pracid_83.0
129,0,e_pracid_85.0
130,0,e_pracid_86.0
131,0,e_pracid_87.0
132,0,e_pracid_88.0
133,0,e_pracid_89.0
134,0,e_pracid_90.0
135,0,e_pracid_95.0
136,0,e_pracid_96.0
137,0,e_pracid_98.0
107,0,e_pracid_47.0
105,0,e_pracid_45.0
71,0,e_pracid_211.0
80,0,e_pracid_23.0
86,0,e_pracid_246.0
85,0,e_pracid_240.0
84,0,e_pracid_24.0
83,0,e_pracid_238.0
82,0,e_pracid_235.0
81,0,e_pracid_232.0
79,0,e_pracid_229.0
104,0,e_pracid_44.0
78,0,e_pracid_228.0
77,0,e_pracid_226.0
76,0,e_pracid_224.0
75,0,e_pracid_223.0
74,0,e_pracid_222.0
73,0,e_pracid_218.0
87,0,e_pracid_247.0
88,0,e_pracid_248.0
89,0,e_pracid_250.0
90,0,e_pracid_251.0
91,0,e_pracid_253.0
92,0,e_pracid_256.0
93,0,e_pracid_27.0
94,0,e_pracid_29.0
95,0,e_pracid_32.0
96,0,e_pracid_33.0
97,0,e_pracid_34.0
98,0,e_pracid_35.0
99,0,e_pracid_36.0
100,0,e_pracid_4.0
101,0,e_pracid_40.0
102,0,e_pracid_42.0
103,0,e_pracid_43.0
