,Value,Feature
221,0.16788166661794773,e_pracid_74.0
220,0.16409206034554763,e_pracid_15.0
219,0.16344468574566323,e_pracid_70.0
218,0.16224735345327082,e_pracid_91.0
216,0.15930834750731407,e_pracid_209.0
215,0.15563018028988465,e_pracid_178.0
214,0.15309027387849006,e_pracid_98.0
213,0.15280323460086404,e_pracid_242.0
212,0.14906764355763935,e_pracid_18.0
211,0.14766581771330572,e_pracid_171.0
210,0.14593278510879235,e_pracid_76.0
209,0.13820205228758783,e_pracid_66.0
208,0.1364435862859674,e_pracid_86.0
207,0.13585148130292257,e_pracid_122.0
206,0.13556848017915765,e_pracid_115.0
205,0.1313766446988861,e_pracid_151.0
204,0.13090295911209443,e_pracid_247.0
203,0.1302003665651658,e_pracid_220.0
199,0.12674253225385657,e_pracid_111.0
198,0.1255856625995363,e_pracid_143.0
197,0.12254874199167459,e_pracid_179.0
196,0.12025646549245954,e_pracid_146.0
194,0.116048433390536,e_pracid_33.0
193,0.11515580081788857,e_pracid_257.0
192,0.11341341932427278,e_pracid_184.0
190,0.11133248280831377,e_pracid_158.0
189,0.10898790814787201,e_pracid_63.0
188,0.10767157731311676,e_pracid_181.0
187,0.10335709285311956,e_pracid_34.0
186,0.10215454011972691,e_pracid_230.0
185,0.09675558622130952,e_pracid_183.0
183,0.08790785386252671,e_pracid_71.0
182,0.08564329086843611,e_pracid_57.0
181,0.08435341747345992,e_pracid_153.0
180,0.08376424784028413,e_pracid_126.0
179,0.0776347926321275,e_pracid_7.0
178,0.07648133194610324,e_pracid_154.0
177,0.07623135410833103,e_pracid_175.0
176,0.07591804777853012,e_pracid_99.0
175,0.0756576117029962,e_pracid_222.0
173,0.07294404833051618,e_pracid_27.0
171,0.07144214040003706,e_pracid_56.0
170,0.07021606480264635,e_pracid_251.0
169,0.0699009459047348,e_pracid_196.0
168,0.06743377545406935,e_pracid_78.0
166,0.06392555877107518,e_pracid_48.0
165,0.06009833587396113,e_pracid_26.0
164,0.05956904501540798,e_pracid_169.0
163,0.05429231379136261,e_pracid_246.0
162,0.050221680845807394,e_pracid_201.0
161,0.04876948709977864,e_pracid_89.0
160,0.048225701371827856,e_pracid_165.0
159,0.045400350852266354,e_pracid_121.0
158,0.03845089890460726,e_pracid_8.0
157,0.03734212229972634,e_pracid_239.0
156,0.03718534478384678,e_pracid_134.0
155,0.03712171285529024,e_pracid_17.0
154,0.036105108800375124,e_pracid_79.0
153,0.03306578895820121,e_pracid_32.0
152,0.025493802230236784,e_pracid_13.0
150,0.023577059904568615,e_pracid_176.0
149,0.02255086756776886,e_pracid_210.0
148,0.021726453259485395,e_pracid_68.0
147,0.02047607786267751,e_pracid_77.0
146,0.02013883582801694,e_pracid_97.0
145,0.019736061549042686,e_pracid_120.0
144,0.019400994035573167,e_pracid_12.0
143,0.01800505872917897,e_pracid_160.0
142,0.016852514285065345,e_pracid_129.0
141,0.0168490059348246,e_pracid_195.0
140,0.016531800047049783,e_pracid_58.0
139,0.01574303500240476,e_pracid_90.0
138,0.0156171471877683,e_pracid_45.0
137,0.015043375252041195,e_pracid_217.0
136,0.014922440148713276,e_pracid_128.0
134,0.00859401588697288,e_pracid_127.0
133,0.006869797275367263,e_pracid_204.0
132,0.0029670238858707,e_pracid_141.0
129,-0.0010706789936929329,e_pracid_123.0
127,-0.002904821133556753,e_pracid_229.0
126,-0.003580900447478037,e_pracid_248.0
125,-0.005864606729719153,e_pracid_212.0
124,-0.00636336269448615,e_pracid_87.0
123,-0.007188423023796098,e_pracid_142.0
120,-0.011204535714128912,e_pracid_189.0
119,-0.012636906320145984,e_pracid_208.0
118,-0.012764353942191749,e_pracid_5.0
117,-0.013228166813867277,e_pracid_114.0
116,-0.013994391702911994,e_pracid_172.0
115,-0.01808710941775434,e_pracid_40.0
114,-0.01915100549954283,e_pracid_4.0
113,-0.028187473158436723,e_pracid_170.0
112,-0.028900921795709265,e_pracid_124.0
111,-0.03153812493609385,e_pracid_84.0
110,-0.036987528280375145,e_pracid_147.0
109,-0.039413507809369364,e_pracid_73.0
108,-0.045637226796322795,e_pracid_197.0
107,-0.047681203440405565,e_pracid_249.0
106,-0.04911429739035676,e_pracid_69.0
105,-0.05170759513469508,e_pracid_41.0
104,-0.05305746105604773,e_pracid_139.0
102,-0.0540867152798243,e_pracid_23.0
101,-0.05553224754476331,e_pracid_173.0
100,-0.05978968183525505,e_pracid_29.0
98,-0.06259457447195368,e_pracid_108.0
97,-0.06288635944472543,e_pracid_159.0
96,-0.06298023009865975,e_pracid_52.0
95,-0.06583171211036716,e_pracid_177.0
94,-0.0685588415200353,e_pracid_62.0
93,-0.07308643071344566,e_pracid_245.0
92,-0.07411018524545271,e_pracid_234.0
91,-0.07687655752066212,e_pracid_54.0
90,-0.0769054907496817,e_pracid_93.0
89,-0.07824458840594355,e_pracid_51.0
88,-0.08591914366070859,e_pracid_96.0
87,-0.08640248987193928,e_pracid_125.0
86,-0.08943274590282299,e_pracid_42.0
85,-0.09065223159316081,e_pracid_44.0
83,-0.09886964857040735,e_pracid_219.0
82,-0.10035031590692658,e_pracid_252.0
81,-0.10344208046786535,e_pracid_9.0
80,-0.1068704294921931,e_pracid_144.0
79,-0.1082261213368644,e_pracid_88.0
78,-0.10866271207186362,e_pracid_11.0
77,-0.10932929074775592,e_pracid_72.0
76,-0.11121095518408859,e_pracid_224.0
75,-0.11230174824372251,e_pracid_156.0
74,-0.11409031769311913,e_pracid_75.0
73,-0.11551398571831302,e_pracid_138.0
72,-0.11907378502033968,e_pracid_36.0
71,-0.11943841048505853,e_pracid_101.0
70,-0.11951658497523342,e_pracid_187.0
69,-0.12189736797125283,e_pracid_16.0
68,-0.12318404577326694,e_pracid_136.0
67,-0.1250706639552524,e_pracid_21.0
66,-0.12554850418134708,e_pracid_225.0
65,-0.13288182411658736,e_pracid_168.0
64,-0.13618811683111642,e_pracid_81.0
63,-0.13790316788670037,e_pracid_83.0
62,-0.14278324815381427,e_pracid_43.0
60,-0.1526312626692934,e_pracid_193.0
59,-0.17137054408555044,e_pracid_35.0
58,-0.17640831432443355,e_pracid_119.0
57,-0.17829157975424353,e_pracid_161.0
56,-0.1789663436781703,e_pracid_19.0
55,-0.18391193062232386,e_pracid_130.0
54,-0.18597678709331703,e_pracid_192.0
53,-0.19498179352446582,e_pracid_109.0
51,-0.20132166725281145,e_pracid_236.0
50,-0.20653571283848457,e_pracid_85.0
49,-0.20878805221181676,e_pracid_47.0
