,Value,Feature
230,0.19357677371668444,e_pracid_189.0
229,0.1934109401888398,e_pracid_1.0
228,0.1897982315994439,e_pracid_13.0
226,0.18329492645062848,e_pracid_46.0
223,0.17949899794326893,e_pracid_145.0
222,0.17636098100651582,e_pracid_135.0
220,0.1726589540144001,e_pracid_115.0
219,0.17118942643343754,e_pracid_131.0
218,0.16948007234267265,e_pracid_111.0
217,0.1645133218338599,e_pracid_166.0
216,0.16418501360376886,e_pracid_118.0
215,0.16385684340804352,e_pracid_182.0
213,0.16260165400570542,e_pracid_56.0
212,0.161785955775022,e_pracid_74.0
210,0.15529797666598616,e_pracid_108.0
209,0.15454613368794695,e_pracid_248.0
208,0.15429105713674904,e_pracid_137.0
207,0.1527405924877973,e_pracid_195.0
206,0.14724996120238193,e_pracid_94.0
204,0.13739829434459538,e_pracid_123.0
203,0.13609876665241197,e_pracid_66.0
202,0.13363437227518468,e_pracid_200.0
201,0.12475594555554421,e_pracid_4.0
199,0.1224526447803178,e_pracid_134.0
198,0.11982352684723692,e_pracid_18.0
197,0.11703686270965528,e_pracid_151.0
196,0.11629505840445815,e_pracid_79.0
195,0.11476325472711679,e_pracid_122.0
194,0.1145875376994518,e_pracid_211.0
193,0.11278237518132415,e_pracid_117.0
191,0.09707814375567358,e_pracid_210.0
190,0.09484104433093521,e_pracid_179.0
189,0.09465343852211305,e_pracid_33.0
188,0.09314206226303287,e_pracid_176.0
186,0.08893382763766712,e_pracid_88.0
184,0.08045143451959536,e_pracid_154.0
183,0.07975950651309811,e_pracid_153.0
182,0.07872865367197081,e_pracid_158.0
181,0.07591702781535413,e_pracid_150.0
180,0.07548433951940568,e_pracid_7.0
178,0.07060068024188564,e_pracid_197.0
177,0.06897013103851024,e_pracid_45.0
176,0.06870866806298744,e_pracid_143.0
175,0.0678419908288013,e_pracid_127.0
174,0.06615914067640366,e_pracid_84.0
173,0.06553253665316783,e_pracid_242.0
172,0.06438829117537084,e_pracid_101.0
171,0.06064168018032899,e_pracid_146.0
170,0.05485951477724278,e_pracid_97.0
169,0.05303452482192277,e_pracid_27.0
168,0.051343746898102484,e_pracid_89.0
167,0.04944472194518956,e_pracid_172.0
165,0.04639748816235963,e_pracid_249.0
163,0.04461348771886251,e_pracid_71.0
162,0.0428898103134258,e_pracid_76.0
161,0.037706607062149525,e_pracid_17.0
160,0.03544424025100023,e_pracid_91.0
158,0.03308120324471922,e_pracid_142.0
157,0.02978370513392683,e_pracid_62.0
156,0.028568349228358058,e_pracid_213.0
155,0.02634398245418994,e_pracid_32.0
154,0.024651500248825217,e_pracid_54.0
153,0.021070117189137115,e_pracid_77.0
152,0.019487822259152635,e_pracid_68.0
151,0.018452453091477406,e_pracid_93.0
150,0.018072220249501638,e_pracid_161.0
148,0.01660173555337882,e_pracid_121.0
147,0.01527953565570163,e_pracid_205.0
146,0.014088541688341168,e_pracid_34.0
145,0.012955383027800275,e_pracid_184.0
144,0.00349625532108896,e_pracid_47.0
143,-1.849373185728703e-05,e_pracid_202.0
141,-0.0012735707661571647,e_pracid_40.0
140,-0.0017878273007960277,e_pracid_173.0
139,-0.002207275192836507,e_pracid_225.0
138,-0.002283908048995062,e_pracid_12.0
137,-0.0038369136043866978,e_pracid_42.0
136,-0.003965730653159798,e_pracid_223.0
135,-0.003966570860650537,e_pracid_87.0
134,-0.003996075597487689,e_pracid_246.0
133,-0.005605429636570011,e_pracid_73.0
132,-0.007158614686973349,e_pracid_129.0
131,-0.008597150405976918,e_pracid_240.0
130,-0.011187894421110758,e_pracid_114.0
128,-0.01219127218433218,e_pracid_147.0
127,-0.012624732202099209,e_pracid_58.0
126,-0.013283622649457929,e_pracid_196.0
125,-0.013635011913075958,e_pracid_61.0
124,-0.013993197138937865,e_pracid_69.0
123,-0.01621415692525117,e_pracid_185.0
122,-0.016501247832639614,e_pracid_128.0
121,-0.018178291839325237,e_pracid_26.0
119,-0.01992217777516699,e_pracid_198.0
118,-0.023231560948236408,e_pracid_36.0
117,-0.02366189299186992,e_pracid_218.0
115,-0.024880215394929173,e_pracid_126.0
114,-0.03036808131358126,e_pracid_180.0
112,-0.03175066092835128,e_pracid_51.0
110,-0.03658236833003565,e_pracid_125.0
109,-0.039125371795358285,e_pracid_90.0
108,-0.041470050590760615,e_pracid_238.0
